userName;score;content;Layanan;Fitur;Kebermanfaatan;Bisnis;Non Aspek
Leni Marlena;5;Mantap lah skrg ad payletter nya jga, klo bisa sih adakan cicilan biar gak cuma pembayaran 30hari saja, sprti e-commerce sblh 😁👍;0;1;0;0;0
Khaerul lisan;5;Bukalapak is very good, bisa melakukan pembayaran apa aja, poko ke lengkap selengkap lengkap ya,,,, buruan yg belum menggunakan bukalpak langsung donload.;1;1;0;0;0
ahmad fauzi;5;Mempermudah mencari sesuatu yg kt perlu kn;0;0;1;0;0
Sam Suri;5;Hai Bl... sy ad trasaksi tp nggk di respon oleh pelapak..di batalkan juga susah..trs bgaimana transaksi sy itu..cari bantuan juga susah..;-1;0;0;0;0
Niwang Setiawan;1;Sekarang JNE truking ga bsa di pake.cuma ada di list kurir ja.pas mau bayar ga ada JNE treking..payah Bukalapak sekarang.ga kaya dlu. Sekarang kalw mau blanja yg berat ke lapak sebelah yg ada cargonya biar lebih murah ongkir nya;0;-1;0;-1;0
MOH. TASIDI ARIYANTO;5;Produk bagus dan berkualitas, harganya terjangkau..;0;0;0;1;0
alkayisa silfia;5;Trimakasih untuk semua ...sangat memuaskan bukaklapak;1;0;0;1;0
Khalid Batulicin;5;Lebih mudah,, bisa bayar angsuran, terimakasih Bukalapak;0;0;1;0;0
Inong Arnavat;5;Banyak pilihan toko,, titp saja klo bida pilih via pengiriman yg irit biaya ongkir;0;0;0;1;0
Arfan Almaidah;5;Terimakasih bukalapak. Kamu aplikasi yang sangat bagus dan mudah di pahami;0;1;1;0;0
Devy Hs;5;App nya bagus sekali barang banyak diskon;0;1;0;0;0
Rachmawaty Ramandha;5;Masih belum dapat jawaban dari pihak Bukalapak tentang pengaduan saya yang sudah 5X pengaduan.;-1;0;0;0;0
Jufri Biga;1;Sangat buruk pembayaran tidak terverifikasi sampai saat ini.👎👎👎;-1;0;0;0;-1
Arsyakananta;5;Saya beli pulsa 2 kali dengan nilai 20.000 yang masuk cuman satu kali,saya komplain tak ada penjelasan dan harus bayar 2 kali ditagihan paylater.mohon untuk kejelasanya kak.;-1;0;0;-1;0
maulanaEM7 Banten;5;Sangat² membantu untuk bisa membeli Di *bukalapak shop* dan membayarkan lewat *akulaku* pokoknya terimakasih deh buat *bukalapak* keren 😎;0;0;1;0;1
Mustofa rafardhan;1;mending pikir2 dulu kalian pakek aplikasi ini karna terlalu ribet komplin barang yg tidak sesuai pesanan mending pakek aplikasi lain dan saya udah 3 tahun pakek aplikasi ini nyessel kenapa gak dari dulu pindah aplikasi lain;-1;0;0;-1;-1
J A Y;5;Sangat membantu utk transaksi jual beli barang bekas maupun baru,, menjadikan penjual dan pembeli semakin percaya diri utk berbelanja..mantab 👍🏻👍🏻👍🏻👍🏻👍🏻;0;0;1;1;0
Della Ariestya Efendi;5;Aplikasi bagus, terima kasih buka lapak sudah menjadi mitra prakerja;0;1;0;0;0
Umi Nurlaela;4;Sangat membantu untuk berbelanja tanpa keluar rumah di stuasi seperti ini;0;0;1;0;0
Ju Igo;4;"Pencarian terbaik dr toko lain, hanya saja fitur ""filter saat ini"" di pencarian barang kenapa dihilangkan, dan pencarian berdasarkan kota yg sudah kita pilih akan hilang ketika mencari barang lain. Tolong ini sangat mempermudah pembelian barang.";0;-1;0;0;0
Randa Prionaldi;5;Cepat Utuk proses pembayaran tagihan..;1;0;0;0;0
Yusraini Rangkuti;5;Caranya mudah dan praktis;0;0;1;0;0
Akmalul Harif;1;Saya meminta kepada pihak bukalapak jangan maksa orang minta datanya, seperti NIK, seperti verifikasi Foto KTP, kami tidak akan rugi kalau tidak mengunakan bukalapak karna banyak akun belanja yang lain... ini mau membekukan segala akun nya.. klw tidak verifikasi.. anda siapa maksa2 segala.. saya tidak suka dengan cara anda meminta data orang secara iligal....;0;0;0;0;-1
Ahmad Dhani;5;Disini sangatt nyaman dalam berbelanja;0;0;0;1;0
lailatulhusnah spd;5;Bukalapak sangat bagus.. Memudahkan,, Sukses selalu buka lapak.. Semoga tmbah bagus.. Dan sertifikat lrakerja q segera tampil di dasbord..;0;1;1;1;0
Iqbal Rasyid;5;Membantu saya dalam berbelanja dan lapaknya pun dapat di percaya;1;0;1;1;0
Luthfi Abdillah;3;Bukalapak paylater dibekukan, apa bisa aktif lagi?;-1;0;0;0;0
Rizky Adiyanto;5;Sangat membantu untuk berbelanja;0;0;1;0;0
ipan piyanto;5;Untuk pemula seperti saya,bukalapak sangat membantu sekali.Dan sangat mudah sekali bertransaksi. Semoga bukalapak semakin sukses.;1;0;1;1;0
ngudi rahayu;5;Nyaman belanja disini , selama ini lancar jaya ... Udah bisa pakai double voucher ... Mantab..;0;0;0;1;0
Hen Dri;5;Sangat membantu saya dan orang banyak dalam mencari kebutuhan barang. Trims;0;0;1;0;0
Dodi Dodi;5;Terimakasih bakingworld.id dan bukalapak atas pelatihan prakerja nya sangat manfaat buat saya .sukses selalu buat semua nya;0;0;1;0;0
Mas Debo;1;Saya sudah melakukan pembayaran pesanan tapi tidak terverikasi malah pesanan jadi kadaluarsa uang sudah masuk dan melakukan pembayaran pengaduan bantuan kirim email jawaban nya itu-itu aja marketplace sebelah simpel ini kok susah amat bantuan pun susah jawab nya muter-muter . Jika saldo saya sudah kembali secepatnya saya kasih bintang 5.👍 Udah telpon berkali-kali proses terus pulsa habis banyak;0;0;0;-1;0
Isdiatul Nuriyah;4;Aplikasi bagus dan mudah d gunakan;0;1;0;0;0
Perkasalast 03;5;Bukalapak benar,,komplit dan sangat,,membatu mencari barang.atau yg diinginkan selalu ada.;0;0;1;1;0
Oma bk;5;Dengan aplikasi Bukalapak belanja apa saja ada dan pengiriman pun cepat..;0;0;0;1;0
Bunda Narsies;4;aplikasi dengan segala barang ada disini,sangat membantu disaat kita membutuhkan sesuatu;0;0;1;0;0
muhammad ihsan;1;aplikasi paling buruk,semua voucher ga bisa digunain,cm diiming2i doang;0;-1;0;0;-1
ahmad rika;4;Bukalapak memang top, rumah siap kerja is the best. Program prakerja memang oke;0;1;0;0;0
Marfuatun Atun;5;Apk belanja online yg sangat bagus, memudahkan saya dalam berbelanja;0;1;1;0;0
FLASH VIDEO;1;Waktu cek aplikasi d situ saya dpet voucher 8 rb untuk pembelian pulsa,sya klaim untuk pembelian pulsa d nomer lain karena saya pake 2 nomer di 1 hp,setelah sya order pulsa lwt akun ewallet dana terpotong dr pembelian pulsa 100rb-8rb total pengeluaran saldo akun dana sya terpotong 92 rb,tp proses mulai dari tggl 24 mei sampe ulasan ini sya tulis lbih tepatnya pukl 01 / skitar kurang dr jam 2 pagi blm ada pulsa masuk,klo pun sbnernya gak bisa d proses alangkah baik nya saldo saya d kembalikan aja;0;0;0;-1;0
Danisa Lein;5;Sangat membantu saya,dan mudah di pahami;0;0;1;0;0
Deden Kurnia;2;Baru diinstal udah crash, gimana palainya ni aplikasi;0;0;0;0;-1
Rivoanggaracandra Candra;5;Kenapa ga bisa aktif paylater ya;0;0;0;0;-1
Nando Ahmad;2;Saya kurangi bintang nya... Kenapa saya GK bsa melakukan transaksi pakai paylater padahal limitnya Ada ??? Salahnya dimana !!! Klo emang GK bisa lagi, tolong hapus aja data data saya jgn sampai di salahgunakan.;0;0;0;-1;0
Akhmad Yusuf;1;Parah live chat yh kaga bisa menyelesaikan permasalahan transaksi selalu di batalkan...!!!;-1;0;0;0;0
Benny Serpentfire;1;Ga bisa chat penjual Ongkirnya sekarang mahal...!!! Makin ancur aja nih aplikasi;0;0;0;-1;-1
Albi Muhammad;3;Kok saya gk bisa mengubah kata sandi,, setiap ingin saya ubah ada tulisan maaf kamu belom bisa mengubah info akun, silakan hubungi buka bantuan.. Tolong dong min;0;0;0;0;-1
Vandi ardian;5;Simple, nggag lelet, banyak promo, tapi lebih bagus lagi kalo promo.nya lebih di banyakin lg hehehe;0;0;0;0;1
NDS Tv;5;Bagus banget recomended untuk berbelanja;0;0;0;0;1
Sain Santos;1;Setelah di upgrade malqh gak bisa dibuka...ampun.....;0;0;0;0;-1
Asep Kusuma Praja;1;Kenapa saya susah banget pembayaran menggunakan ovo ada apa bos sistem perbaikin agar pelanggan anda puas ini mempersulit aja yang bener dong gua jadi kesel makin lama apa aplikasi anda tidak mau di gunakan;0;0;0;0;-1
zammy alfatih;1;Ini buka lapak update nya gak jelas. Lihat tracking pembelian dimana deh 🤦;-1;0;0;0;0
Maju Jaya;2;Lapak ane dibekukan...😥 Entah bagaimana caranya agar ane bisa kembali jualan . Ini minta bantuannya kemana min...??? Tolong dikomfirm min...😔 Ane kasih 2 star dulu. Jika problem terselesaikan star ane rombak jdi 5. 👍;0;0;0;-1;0
Banu Bassae;5;Kerenn..solusi belanja nggak pake antre, nggak pake nawar.. Aman..amanah..;0;0;0;1;0
Danu Umbara;3;Mulai ada masalah dengan pengiriman yang tidak lagi secepat dahulu;0;0;0;-1;0
Jalinan Kasih;1;Bisa tidak kalau updatenya tidak setiap bulan. Nih update mulu;0;0;0;0;-1
Zaviar Abrori;5;Alhamdulillah setelah di hapus,trus download lagi..langsung bisa di buka aplikasi Bukalapaknya,,tdinya ga bisa buka,,harus update terus;0;0;0;0;1
Hanz Dhie;1;kapok belanja disini, minta barang di retur tidak bisa. dengan alasan foto belum cukup jelas;0;0;0;-1;0
Oding Sevenfold;1;Bug nya parah padahal pagi masih bisa transaksi tapi sekarang malah d suruh login lagi,pas login nunggu sms verifikasi lama smpe sekarang belum ada,nyesel,kapok saya,klo akun saya tdk ada saldo nya mending pindah ke apk sebelah aja deh;0;0;0;-1;0
ADE HIRAWAN;5;Semoga terus di perbaiki agar lebih mudah dan di sukai banyak pembeli;0;0;1;0;1
Reza Oktarindah;1;Bukalapak sekarang bukan seperti dulu konsumen ada komplin cepat di proses, sekarang CS hanya sekedar kasih info padahal tindakan tidak ada sama sekali. Sangat kecewa terhadap pihak bukalapak, pecat saja itu semua CS makan gaji buta. Tanggapan konsumen bkan segera di tindak sampai sekarang tidak ada... K.E.C.E.W.A....;-1;0;0;-1;0
awan 999;5;Belanja online mudah dan tdk perlu repot....;0;0;1;0;0
publik populer;2;Aneh kalau di apk ini th pencarian barang th di paksa sama bukalapak gak bebas.. pilih ini itu.. pantesan temen saya pada gak mau bukalapk.. ya gak bisa suka suka cari barang th..;0;0;0;0;-1
Andri Saputra;4;Setelah update terbaru knp tidak bisa klik kolom pencarian ya;0;-1;0;0;0
Taha Romadon;5;Sangat mudah aplikasi ini dan tidak rumit;0;0;1;0;1
Rahardian music n liyric;5;Bagusss,,, Akses lancar , fitur lengkap;0;1;0;0;1
Indah Ayu;5;Sangat bagus dan cocok untuk belanja🥰;0;0;0;0;1
Karimata fishing Clup;5;Terimakasih Bukalapak sudah sangat membatu dlm transaksi kami...;0;0;1;0;0
prie yanto;5;Belanja online sangat mudah dan terpercaya;0;0;1;0;0
Sri Liasta Liasta Bangun;1;Aplikasi berbahaya.uang kita di bekukan tidak bisa di gunakan;0;0;0;-1;-1
Andi eL Rahman;5;Pengiriman cepat, Kurirnya ramah, kemasannya bagus, produk sesuai dengan yg diharapkan;0;0;0;1;0
Losiau Hoky;1;Makin kesini makin hancur hancur hancur. Pengiriman COD,barang sudah di kirim berhari2,tracking resi sudah berjalan,barang pun sudah di antar ke alamat tujuan(kemungkinan di tolak pembeli yg miskin harta miskin akhlat miskin kesadaran diri). Di lapak keterangan y malah PESANAN DI BATALKAN alasan ANDA MENGABAIKAN PESANAN INI waras??? COD sudah saya tutup,tetap di buka otomatis oleh anda. Mau buka komplen tanya barang saya dimana,nyari tombol komplen di aplikasi y ga ada,,hancur ini marketplace.;-1;0;0;-1;-1
Amir Chelsea;5;Cepat, mudah dan aman..👍;0;0;1;0;1
Jajan_Atos _Id;5;Mantab, selalu belanja di bl;0;0;0;0;1
Arianah Zahara;5;Alhamdulillah aplikasinya membantu, mitra prakerja yang rekomendasi;0;0;1;0;1
joko teguh;5;sangat simple dan mudah di gunakan;1;0;1;0;0
Aef Saepuloh;5;alhamdulillah beli pelajaran program prakerja di bukalapak, sangat mudah,murah ,dan terarah;0;0;1;0;0
Mbahbull;1;Terlalu banyak biaya layanan juga biaya admin,beli pulsa 20ribu + biaya layanan bulanan + biaya admin indo/alfa ..ga rekomen bgt ni aplikasi paylater;-1;0;0;0;0
noviyar cun;5;Bagus, Cuma Sayang nya sering terjadi pembatalan otomatis jika melakukan pembayaran melalui paylater, tolong diperbaiki lagi, biar lebih mudah bertransaksi. Terima Kasih;0;0;0;0;1
Rozi Maulana;5;Sudah lama pakai layanan Bukalapak & banyak membatu saya dalam berbelanja.;1;0;0;0;0
Sonie Haryono;5;Aplikasi simpel dg fitur cukup lengkap, bisa belanja apa saja, kapan saja, suka- suka. Banyak promonya yg menarik, sukses buat Bukalapak.;0;1;0;0;1
tasdyano;1;Saya kecewa dgn bukalapak emas pembelian saya tidak bisa di jual. Menghubungi costumer serves gak di respon.;-1;0;0;-1;0
ahmadnurulhuda madridista;1;Sistem apk nya sangat buruk edit profil tidak bisa respon gak stabil No dana yg terdaftar tidak sesuai dg no yg terverifikasi di akun Jaringan sudah baik tapi sistem aplikasi yg buruk jadi respon aplikasi tidak stabil;0;-1;0;0;0
Arija Widada;4;Aplikasinya berat, loadingnya lama. Dibandingkan dengan aplikasi OLshop sebelah. Padahal sudah update aplikasi.;0;-1;0;0;0
aimar raka;1;Pengalaman pertama belanja di buka lapak chips domino saldo sudah kepotong. Pesanan tidak datang 2jam. Pengajuan pengembalian dana melalui bantuan, tetep saldo saya tidak kunjung dikembalikan 3hari inj;0;0;0;-1;0
Teguh Sabam;1;"Kenapa paylater saya tiba"" Di bekukan, padahal baru aja bayar paylater.. Udah ikuti intruksi bukabantuan tetap ga bisa juga.... Tolong dong diperbaiki";0;0;0;-1;0
Elis Susilawati;5;Dengan adanya pembelian prakerja di Bukalapak sangat mudah dan lebih praktis, terimakasih banyak Bukalapak sukses selalu...amin;0;0;1;0;0
Fitrah Kurniawan;1;Saya sekarang sudah tidak pernah belanja di Bukalapak karena susah komplainnya, Bukalapak lebih pro ke pedagang/pelapak. Lebih baik di tempat lain jangan di Bukalapak.;-1;0;0;0;0
Saiful Bari;5;Simple mudah . Ada masalah , cpet teratasi. Fast respon cs nya . Mantul sudah;1;0;1;0;0
tohir tohiran;5;ribet banget mau mindahin uang saya dari bukadompet,kecewa belanja di bukalapak barang yg dijual dah nggk ada tetep aja dipajang;0;0;-1;0;0
Winda Ayu;5;Sangat membatu untuk prakerjaaa. Dan sangatt the bestttt. Pilihann utama untuk prakerjaa di buka lapakk ajaaaaa;0;0;1;0;0
dedi supriyadi;5;Mantap.. Buka Aplikasi cepat. Tdk lola sprt aplikasi blnja online serupa;0;1;0;0;1
Lalu Eddy Soedradjat;4;Cukup memuaskan,aplikasi bagus,no komen untuk komplain karna saya baru sekali order dibukalapak hasilnya memuaskan.gak tau kedepanya bintang 4 dulu lah.;0;1;0;0;1
Poo Sucen;5;Para peLapak nya perlu ditingkatkan layanan serta ketersediaan barang dagangan nya;-1;0;0;0;0
Donnie 349;5;Mantap sering belanja barang bermerek dengan harga terjangkau meski sekend tapi good condition;0;0;0;1;0
jangkawareng1993;5;Mohon infonya pak Gimana cara nya masuk ke aplikasi.. nomor saya hangus tidak menerima Otp Sudah pakai Email pun masuk merima otp ke nomor.. bingung saya Nomornya hangus;0;0;0;0;-1
Revi Mariska Putri;1;ya allah minn saya sabar bgt mau login apl ini,dari tadi login gabisa bisa,malah lelet bgt😭mau nangis sampean loh mbak mas, tolong bgt inimah di perbaiki lagi apl;0;0;0;0;-1
Dedi Syahputra;1;Apalikasi ini biadap. Toko2 yg jualan di sini penipu semua. Saya sudah tertipu 2 x. Memang aplikasi tak berguna.;0;0;0;-1;-1
Honda Supra fit;5;Kadang louding nya lama tapi ggp mungkin sinyal nya kurang bagus;0;0;0;0;-1
syahrul chusaeni;5;Terimakasih bukalapak, pengiriman cepat sekali;0;0;0;1;0
